time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
0.01,0.01,0.0,0.138,-0.08,0.0,0.08000000000038199,1.0,-1.0,144.00000000000003,143.00000000000003
0.02,0.01,0.0,0.138,-0.07986145437389292,0.0,0.18267112231933424,1.0,-1.0,206.00000000000006,206.00000000000006
0.03,0.01,0.0,0.138,-0.07948962686017519,0.0,0.3013404457828983,1.0,-1.0,233.00000000000006,233.00000000000006
0.04,0.01,0.0,0.138,-0.07906213277844953,0.0,0.4261290161061879,1.0,-1.0,245.00000000000006,246.00000000000006
0.05,0.01,0.0,0.138,-0.07860453686927368,0.0,0.5567083613354953,1.0,-1.0,251.00000000000006,251.00000000000006
0.060000000000000005,0.01,0.0,0.138,-0.07811932265102127,0.0,0.6932518426933711,1.0,-1.0,253.00000000000006,252.00000000000006
0.07,0.01,0.0,0.138,-0.07760721562177275,0.0,0.835948514536085,1.0,-1.0,254.00000000000006,254.00000000000006
0.08,0.01,0.0,0.138,-0.07706880859794013,0.0,0.9849718927493996,1.0,-1.0,254.00000000000006,254.00000000000006
0.09,0.01,0.0,0.138,-0.0765046736587862,0.0,1.140478674598853,1.0,-1.0,254.00000000000006,254.00000000000006
0.09999999999999999,0.01,0.0,0.138,-0.07591536992674885,0.0,1.3026095168165739,1.0,-1.0,255.00000000000006,254.00000000000006
0.10999999999999999,0.01,0.0,0.138,-0.07530144433908949,0.0,1.471489916963037,1.0,-1.0,254.00000000000006,255.00000000000006
0.11999999999999998,0.01,0.0,0.138,-0.07466343194541443,0.0,1.6472310623930753,1.0,-1.0,254.00000000000006,255.00000000000006
0.12999999999999998,0.01,0.0,0.138,-0.07400185616818683,0.0,1.8299306391272694,1.0,-1.0,255.00000000000006,254.00000000000006
0.13999999999999999,0.01,0.0,0.138,-0.07331722905553821,0.0,2.0196736017796866,1.0,-1.0,254.00000000000006,254.00000000000006
0.15,0.01,0.0,0.138,-0.07261005152844999,0.0,2.2165329062759156,1.0,-1.0,255.00000000000006,255.00000000000006
0.16,0.01,0.0,0.138,-0.0718808136225546,0.0,2.420570207039418,1.0,-1.0,255.00000000000006,254.00000000000006
0.17,0.01,0.0,0.138,-0.0711299947246815,0.0,2.6318365202746463,1.0,-1.0,254.00000000000006,254.00000000000006
0.18000000000000002,0.01,0.0,0.138,-0.07035806380426272,0.0,2.850372854868965,1.0,-1.0,255.00000000000006,255.00000000000006
0.19000000000000003,0.01,0.0,0.138,-0.06956547963970999,0.0,3.076210812404952,1.0,-1.0,255.00000000000006,254.00000000000006
0.20000000000000004,0.01,0.0,0.138,-0.0687526910398724,0.0,3.3093731576941536,1.0,-1.0,254.00000000000006,254.00000000000006
0.21000000000000005,0.01,0.0,0.138,-0.06792013706068167,0.0,3.549874361165621,1.0,-1.0,254.00000000000006,254.00000000000006
0.22000000000000006,0.01,0.0,0.138,-0.06706824721708966,0.0,3.797721114410251,1.0,-1.0,254.00000000000006,255.00000000000006
0.23000000000000007,0.01,0.0,0.138,-0.06619744169040014,0.0,4.052912820108759,1.0,-1.0,254.00000000000006,254.00000000000006
0.24000000000000007,0.01,0.0,0.138,-0.06530813153109535,0.0,4.315442057516975,1.0,-1.0,254.00000000000006,254.00000000000006
0.25000000000000006,0.01,0.0,0.138,-0.06440071885725479,0.0,4.5852950246362525,1.0,-1.0,254.00000000000006,254.00000000000006
0.26000000000000006,0.01,0.0,0.138,-0.06347559704866237,0.0,4.862451958134898,1.0,-1.0,254.00000000000006,254.00000000000006
0.2700000000000001,0.01,0.0,0.138,-0.06253315093669544,0.0,5.146887532059736,1.0,-1.0,254.00000000000006,254.00000000000006
0.2800000000000001,0.01,0.0,0.138,-0.06157375699008732,0.0,5.438571236315056,1.0,-1.0,254.00000000000006,254.00000000000006
0.2900000000000001,0.01,0.0,0.138,-0.06059778349665326,0.0,5.737467735829796,1.0,-1.0,254.00000000000006,254.00000000000006
0.3000000000000001,0.01,0.0,0.138,-0.05960559074106724,0.0,6.043537211339299,1.0,-1.0,254.00000000000006,254.00000000000006
0.3100000000000001,0.01,0.0,0.138,-0.0585975311787756,0.0,6.356735682603812,1.0,-1.0,255.00000000000006,254.00000000000006
0.3200000000000001,0.01,0.0,0.138,-0.05757394960613139,0.0,6.677015314910477,1.0,-1.0,254.00000000000006,254.00000000000006
0.3300000000000001,0.01,0.0,0.138,-0.056535183326831634,0.0,7.004324709613229,1.0,-1.0,254.00000000000006,254.00000000000006
0.34000000000000014,0.01,0.0,0.138,-0.05548156231473775,0.0,7.338609179483683,1.0,-1.0,254.00000000000006,254.00000000000006
0.35000000000000014,0.01,0.0,0.138,-0.05441340937315781,0.0,7.679811009554669,1.0,-1.0,255.00000000000006,254.00000000000006
0.36000000000000015,0.01,0.0,0.138,-0.05333104029066747,0.0,8.02786970417128,1.0,-1.0,255.00000000000006,254.00000000000006
0.37000000000000016,0.01,0.0,0.138,-0.052234763993544805,0.0,8.382722220864707,1.0,-1.0,254.00000000000006,254.00000000000006
0.38000000000000017,0.01,0.0,0.138,-0.05112488269489264,0.0,8.744303191701874,1.0,-1.0,255.00000000000006,254.00000000000006
0.3900000000000002,0.01,0.0,0.138,-0.05000169204052034,0.0,9.11254513267886,1.0,-1.0,254.00000000000006,255.00000000000006
0.4000000000000002,0.01,0.0,0.138,-0.048865481251655546,0.0,9.487378641738815,1.0,-1.0,254.00000000000006,254.00000000000006
0.4100000000000002,0.01,0.0,0.138,-0.047716533264554585,0.0,9.868732585950056,1.0,-1.0,255.00000000000006,254.00000000000006
0.4200000000000002,0.01,0.0,0.138,-0.04655512486707916,0.0,10.256534278363233,1.0,-1.0,254.00000000000006,254.00000000000006
0.4300000000000002,0.01,0.0,0.138,-0.045381526832305064,0.0,10.650709645035477,1.0,-1.0,255.00000000000006,254.00000000000006
0.4400000000000002,0.01,0.0,0.138,-0.044196004049227515,0.0,11.051183382703584,1.0,-1.0,254.00000000000006,254.00000000000006
0.45000000000000023,0.01,0.0,0.138,-0.04299881565062621,0.0,11.45787910754052,1.0,-1.0,254.00000000000006,254.00000000000006
0.46000000000000024,0.01,0.0,0.138,-0.04179021513815167,0.0,11.870719495435424,1.0,-1.0,254.00000000000006,254.00000000000006
0.47000000000000025,0.01,0.0,0.138,-0.04057045050469355,0.0,12.28962641420867,1.0,-1.0,254.00000000000006,254.00000000000006
0.48000000000000026,0.01,0.0,0.138,-0.03933976435408964,0.0,12.714521048143979,1.0,-1.0,254.00000000000006,255.00000000000006
0.49000000000000027,0.01,0.0,0.138,-0.03809839401823359,0.0,13.145324015210008,1.0,-1.0,254.00000000000006,254.00000000000006
0.5000000000000002,0.01,0.0,0.138,-0.03684657167163781,0.0,13.581955477353404,1.0,-1.0,254.00000000000006,254.00000000000006
0.5100000000000002,0.01,0.0,0.138,-0.03558452444350679,0.0,14.024335244155282,1.0,-1.0,254.00000000000006,255.00000000000006
0.5200000000000002,0.01,0.0,0.138,-0.03431247452737512,0.0,14.472382870229012,1.0,-1.0,254.00000000000006,254.00000000000006
0.5300000000000002,0.01,0.0,0.138,-0.03303063928836275,0.0,14.926017746633534,1.0,-1.0,255.00000000000006,254.00000000000006
0.5400000000000003,0.01,0.0,0.138,-0.03173923136809981,0.0,15.385159186601868,1.0,-1.0,255.00000000000006,254.00000000000006
0.5500000000000003,0.01,0.0,0.138,-0.030438458787371163,0.0,15.849726505891795,1.0,-1.0,254.00000000000006,254.00000000000006
0.5600000000000003,0.01,0.0,0.138,-0.029128525046530476,0.0,16.31963909799242,1.0,-1.0,254.00000000000006,255.00000000000006
0.5700000000000003,0.01,0.0,0.138,-0.027809629223732243,0.0,16.794816504465416,1.0,-1.0,254.00000000000006,254.00000000000006
0.5800000000000003,0.01,0.0,0.138,-0.026481966071029102,0.0,17.275178480669183,1.0,-1.0,254.00000000000006,254.00000000000006
0.5900000000000003,0.01,0.0,0.138,-0.025145726108380943,0.0,17.760645057081092,1.0,-1.0,254.00000000000006,254.00000000000006
0.6000000000000003,0.01,0.0,0.138,-0.023801095715621154,0.0,18.251136596452397,1.0,-1.0,254.00000000000006,254.00000000000006
0.6100000000000003,0.01,0.0,0.138,-0.022448257222424293,0.0,18.746573847018226,1.0,-1.0,254.00000000000006,255.00000000000006
0.6200000000000003,0.01,0.0,0.138,-0.021087388996318797,0.0,19.246877991933616,1.0,-1.0,255.00000000000006,255.00000000000006
0.6300000000000003,0.01,0.0,0.138,-0.01971866552878706,0.0,19.751970695170712,1.0,-1.0,254.00000000000006,255.00000000000006
0.6400000000000003,0.01,0.0,0.138,-0.01834225751949451,0.0,20.261774144023548,1.0,-1.0,255.00000000000006,254.00000000000006
0.6500000000000004,0.01,0.0,0.138,-0.016958331958688372,0.0,20.77621108842459,1.0,-1.0,254.00000000000006,254.00000000000006
0.6600000000000004,0.01,0.0,0.138,-0.015567052207805715,0.0,21.29520487721311,1.0,-1.0,254.00000000000006,255.00000000000006
0.6700000000000004,0.01,0.0,0.138,-0.01416857807833008,0.0,21.818679491552302,1.0,-1.0,255.00000000000006,254.00000000000006
0.6800000000000004,0.01,0.0,0.138,-0.01276306590893421,0.0,22.346559575598803,1.0,-1.0,254.00000000000006,254.00000000000006
0.6900000000000004,0.01,0.0,0.138,-0.011350668640946651,0.0,22.87877046461972,1.0,-1.0,255.00000000000006,254.00000000000006
0.7000000000000004,0.01,0.0,0.138,-0.009931535892178267,0.0,23.41523821065175,1.0,-1.0,254.00000000000006,255.00000000000006
