time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor2.lf_1_sensor_reading
0.0,0.0,-0.524,0.156,-0.33,0.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002
0.01,0.01,-0.524,0.156,-0.33,0.0,0.08000000000038199,1.0,-1.0,143.00000000000003,1.0000000000000002
0.02,0.01,-0.524,0.15620771651929055,-0.32964055756727273,0.0,0.22494140453,1.0,-1.0,205.00000000000006,1.0000000000000002
0.03,0.01,-0.524,0.1565715670355771,-0.3290109335240344,0.0,0.4386471278698991,0.0,-0.8,234.00000000000006,1.0000000000000002
0.04,0.01,-0.5176912481093576,0.15684663005175725,-0.3283870816469816,0.0,0.6160938511538916,0.0,-0.8,245.00000000000006,1.0000000000000002
0.05,0.01,-0.5073023210367054,0.15705350214808292,-0.3277570084995812,0.0,0.7953162773815166,0.0,-0.8,251.00000000000006,1.0000000000000002
0.060000000000000005,0.01,-0.4954479478370986,0.15724049627701275,-0.32710879799996784,0.0,0.9772802946804404,0.0,-0.8,253.00000000000006,1.0000000000000002
0.07,0.01,-0.4827117759400093,0.15741235634029765,-0.32644753419024136,0.0,1.1613533955610365,0.0,-0.8,254.00000000000006,1.0000000000000002
0.08,0.01,-0.46944636809702706,0.15757179016821382,-0.32577658112696795,0.0,1.3470591217787842,0.0,-0.8,254.00000000000006,1.0000000000000002
0.09,0.01,-0.45586331693243515,0.1577202885790698,-0.3250982003223105,0.0,1.5340353977044288,0.0,-0.8,255.00000000000006,0.0
0.09999999999999999,0.01,-0.4420896146915216,0.15785864001494523,-0.3244139572854193,0.0,1.7220057750432716,0.0,-0.8,255.00000000000006,0.0
